Year,DayOfWeek,Encounters,Admits
2018,Monday,24246,6408
2018,Tuesday,22175,5902
2018,Wednesday,22451,5961
2018,Thursday,21550,5827
2018,Friday,21963,5891
2018,Saturday,23076,5340
2018,Sunday,23877,5534
2019,Monday,24371,6399
2019,Tuesday,23361,6179
2019,Wednesday,22269,6001
2019,Thursday,22249,6016
2019,Friday,22637,6186
2019,Saturday,23309,5498
2019,Sunday,23696,5676
2020,Monday,22133,6201
2020,Tuesday,20960,5982
2020,Wednesday,20989,5871
2020,Thursday,20875,5804
2020,Friday,20788,5853
2020,Saturday,21044,5317
2020,Sunday,21744,5525
2021,Monday,24974,6774
2021,Tuesday,23677,6548
2021,Wednesday,23181,6435
2021,Thursday,22911,6333
2021,Friday,23577,6450
2021,Saturday,23680,5860
2021,Sunday,23879,6035
2022,Monday,25907,7028
2022,Tuesday,24191,6404
2022,Wednesday,23460,6390
2022,Thursday,23405,6300
2022,Friday,23791,6505
2022,Saturday,24640,6050
2022,Sunday,24601,5902
2023,Monday,26132,7328
2023,Tuesday,24558,6867
2023,Wednesday,24556,6893
2023,Thursday,24203,6860
2023,Friday,24247,6820
2023,Saturday,23801,6128
2023,Sunday,25320,6450
2024,Monday,27125,7751
2024,Tuesday,25634,7305
2024,Wednesday,24968,7061
2024,Thursday,24517,7061
2024,Friday,24986,7337
2024,Saturday,24305,6381
2024,Sunday,24965,6631
2025,Monday,17631,5051
2025,Tuesday,16504,4695
2025,Wednesday,17161,4895
2025,Thursday,16843,4811
2025,Friday,17234,4931
2025,Saturday,16566,4300
2025,Sunday,16818,4396
